,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tên công ty,Công ty Cổ phần Sữa Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tên báo cáo,Chỉ số tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngày tải,15/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đơn vị tính,VNĐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4/2024,Q3/2024,Q2/2024,Q1/2024,Q4/2023,Q3/2023,Q2/2023,Q1/2023,Q4/2022,Q3/2022,Q2/2022,Q1/2022,Q4/2021,Q3/2021,Q2/2021,Q1/2021,Q4/2020,Q3/2020,Q2/2020,Q1/2020,Q4/2019,Q3/2019,Q2/2019,Q1/2019,Q4/2018,Q3/2018,Q2/2018,Q1/2018,Q4/2017,Q3/2017,Q2/2017,Q1/2017,Q4/2016,Q3/2016,Q2/2016,Q1/2016,Q4/2015,Q3/2015,Q2/2015,Q1/2015
Chỉ tiêu Báo cáo kết quả kinh doanh (Tỷ đồng),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Doanh thu thuần,"15,477,073,125,441.00","15,537,337,313,473.00","16,655,787,772,473.00","14,112,411,317,058.00","15,618,710,944,490.00","15,636,987,684,682.00","15,194,824,955,693.00","13,918,391,926,640.00","15,068,654,657,453.00","16,079,491,424,130.00","14,930,275,292,637.00","13,877,825,823,198.00","15,819,036,553,270.00","16,194,052,003,559.00","15,715,806,166,465.00","13,190,270,122,852.00","14,424,794,514,944.00","15,563,157,998,229.00","15,495,233,758,799.00","14,153,099,953,575.00","14,238,961,478,162.00","14,290,900,447,018.00","14,598,960,549,757.00","13,189,300,287,807.00","13,003,707,052,570.00","13,735,260,285,149.00","13,702,480,611,961.00","12,120,502,020,912.00","12,350,368,157,140.00","13,293,077,820,340.00","13,348,261,215,191.00","12,049,368,692,438.00","11,807,610,749,506.00","12,204,689,711,230.00","12,449,130,059,922.00","10,332,908,879,616.00","11,098,562,112,893.00","10,549,326,431,578.00","10,500,110,637,280.00","8,716,035,913,568.00"
        Tăng trưởng doanh thu,-0.91%,-0.64%,9.61%,1.39%,3.65%,-2.75%,1.77%,0.29%,-4.74%,-0.71%,-5.00%,5.21%,9.67%,4.05%,1.42%,-6.80%,1.31%,8.90%,6.14%,7.31%,9.50%,4.05%,6.54%,8.82%,5.29%,3.33%,2.65%,0.59%,4.60%,8.92%,7.22%,16.61%,6.39%,15.69%,18.56%,18.55%,18.89%,20.82%,13.73%,13.52%
    Lợi nhuận gộp,"6,209,690,644,985.00","6,401,445,454,290.00","7,067,518,779,284.00","5,911,521,444,565.00","6,441,612,591,490.00","6,554,900,643,375.00","6,150,192,068,886.00","5,398,026,311,659.00","5,845,588,412,045.00","6,350,179,642,297.00","6,076,659,801,599.00","5,624,803,650,766.00","6,725,316,780,217.00","6,943,747,090,431.00","6,854,357,185,245.00","5,754,880,436,414.00","6,658,173,701,548.00","7,266,743,481,136.00","7,137,894,597,099.00","6,605,811,607,925.00","6,680,302,621,448.00","6,722,965,970,468.00","7,013,945,549,158.00","6,155,002,509,553.00","6,162,585,412,139.00","6,493,516,898,029.00","6,468,610,841,811.00","5,486,693,317,112.00","5,603,872,290,875.00","6,270,299,324,342.00","6,540,841,887,346.00","5,819,131,316,070.00","5,480,295,049,931.00","5,085,428,772,710.00","5,372,695,831,441.00","5,026,711,161,429.00","4,416,387,446,733.00","4,350,059,534,037.00","4,386,995,984,476.00","3,108,971,976,990.00"
        Tăng trưởng lợi nhuận gộp,-3.60%,-2.34%,14.92%,9.51%,10.20%,3.22%,1.21%,-4.03%,-13.08%,-8.55%,-11.35%,-2.26%,1.01%,-4.44%,-3.97%,-12.88%,-0.33%,8.09%,1.77%,7.32%,8.40%,3.53%,8.43%,12.18%,9.97%,3.56%,-1.10%,-5.71%,2.25%,23.30%,21.74%,15.76%,24.09%,16.90%,22.47%,61.68%,24.40%,43.63%,38.60%,21.23%
    Lợi nhuận thuần từ HĐKD,"2,581,919,225,696.00","2,970,748,116,715.00","3,325,773,210,703.00","2,715,537,085,273.00","2,725,822,436,482.00","3,086,270,738,943.00","2,776,744,398,740.00","2,314,795,307,642.00","2,229,048,854,727.00","2,888,929,476,609.00","2,600,935,725,205.00","2,772,150,770,559.00","2,639,084,928,848.00","3,507,044,711,060.00","3,510,265,400,228.00","3,071,224,780,055.00","2,698,989,438,731.00","3,755,879,519,012.00","3,721,525,146,405.00","3,362,986,720,268.00","2,673,952,095,282.00","3,265,127,046,928.00","3,516,775,668,232.00","3,341,235,304,930.00","2,637,035,621,507.00","2,953,826,796,158.00","3,172,703,017,968.00","3,112,948,005,119.00","2,084,489,611,040.00","3,228,396,596,983.00","3,443,226,703,496.00","3,470,305,276,126.00","2,145,563,296,248.00","3,048,044,079,391.00","3,373,259,219,955.00","2,593,424,063,941.00","2,228,598,262,186.00","2,554,910,647,754.00","2,621,118,916,415.00","1,872,171,414,488.00"
        Tăng trưởng lợi nhuận thuần,-5.28%,-3.74%,19.77%,17.31%,22.29%,6.83%,6.76%,-16.50%,-15.54%,-17.62%,-25.90%,-9.74%,-2.22%,-6.63%,-5.68%,-8.68%,0.94%,15.03%,5.82%,0.65%,1.40%,10.54%,10.84%,7.33%,26.51%,-8.50%,-7.86%,-10.30%,-2.85%,5.92%,2.07%,33.81%,-3.73%,19.30%,28.70%,38.52%,10.41%,50.94%,37.50%,10.68%
    Lợi nhuận trước thuế,"2,643,368,770,905.00","2,941,801,640,478.00","3,308,642,928,230.00","2,705,840,401,722.00","2,852,064,600,379.00","3,075,789,821,151.00","2,727,998,544,003.00","2,312,046,425,953.00","2,295,242,241,834.00","2,859,883,167,326.00","2,576,057,643,749.00","2,764,351,623,836.00","2,688,037,023,963.00","3,586,603,289,912.00","3,493,684,950,239.00","3,153,910,222,805.00","2,671,876,716,607.00","3,777,019,789,971.00","3,711,380,577,468.00","3,358,259,002,978.00","2,649,338,858,483.00","3,253,756,149,711.00","3,549,831,766,256.00","3,342,782,864,107.00","2,680,499,625,011.00","3,033,968,043,856.00","3,160,765,705,183.00","3,176,462,892,073.00","2,085,821,039,955.00","3,223,014,334,435.00","3,444,022,345,991.00","3,476,087,663,755.00","2,204,169,931,367.00","3,044,873,308,173.00","3,362,070,367,159.00","2,626,512,964,197.00","2,285,812,672,463.00","2,553,778,018,374.00","2,622,484,714,956.00","1,905,065,650,592.00"
        Tăng trưởng lợi nhuận trước thuế,-7.32%,-4.36%,21.28%,17.03%,24.26%,7.55%,5.90%,-16.36%,-14.61%,-20.26%,-26.27%,-12.35%,0.60%,-5.04%,-5.87%,-6.08%,0.85%,16.08%,4.55%,0.46%,-1.16%,7.24%,12.31%,5.24%,28.51%,-5.87%,-8.22%,-8.62%,-5.37%,5.85%,2.44%,32.35%,-3.57%,19.23%,28.20%,37.87%,5.00%,48.21%,33.12%,9.28%
    Lợi nhuận sau thuế của Cổ đông công ty mẹ,"2,123,649,268,482.00","2,403,519,104,884.00","2,670,475,017,284.00","2,194,666,965,600.00","2,326,013,960,066.00","2,492,254,015,001.00","2,198,811,184,561.00","1,856,733,257,236.00","1,869,125,571,613.00","2,298,398,907,051.00","2,082,981,126,147.00","2,265,518,089,530.00","2,196,004,480,636.00","2,925,766,998,017.00","2,834,789,042,592.00","2,575,916,578,653.00","2,185,170,012,447.00","3,077,140,792,284.00","3,071,714,073,426.00","2,764,911,978,211.00","2,201,515,747,637.00","2,690,192,377,294.00","2,898,738,430,907.00","2,790,729,116,151.00","2,299,484,602,646.00","2,560,125,311,355.00","2,666,357,498,655.00","2,701,313,738,808.00","1,744,612,719,962.00","2,693,903,760,050.00","2,922,080,403,930.00","2,935,068,264,904.00","1,828,963,840,162.00","2,548,780,232,660.00","2,815,396,006,252.00","2,157,189,051,310.00","1,896,074,486,906.00","2,135,307,519,344.00","2,185,170,750,754.00","1,556,856,874,239.00"
