,Trung bình,Độ lệch chuẩn,Thấp nhất,Tứ phân vị 1 (Q1),Trung vị (Q2),Tứ phân vị 3 (Q3),Cao nhất,Phương sai
Doanh thu thuần,13711940340965.59,1874686546200.3716,8716035913568.0,12399749108531.0,13918391926640.0,15345029357246.0,16655787772473.0,3.514449646504678e+24
Tăng trưởng doanh thu,6.265384615384616,6.944883707924791,-6.8,1.4049999999999998,5.29,9.555,20.82,48.23140971659919
Lợi nhuận gộp,6010633009650.487,894055292732.7156,3108971976990.0,5545282803993.5,6162585412139.0,6631992654736.5,7266743481136.0,7.993348664633817e+23
Tăng trưởng lợi nhuận gộp,8.957179487179488,15.691566616752745,-13.08,-1.68,7.32,16.33,61.68,246.2252628879892
Lợi nhuận thuần từ HĐKD,2923355600265.436,476720771040.69183,1872171414488.0,2629077268961.0,2953826796158.0,3333504257816.5,3755879519012.0,2.2726269354163172e+23
Tăng trưởng lợi nhuận thuần,6.266153846153846,17.09493671042988,-25.9,-6.154999999999999,5.82,16.169999999999998,50.94,292.23686113360316
Lợi nhuận trước thuế,2936964346889.769,471407165304.59186,1905065650592.0,2637925911340.0,2941801640478.0,3325712896168.5,3777019789971.0,2.2222471550051078e+23
Tăng trưởng lợi nhuận trước thuế,5.882051282051283,16.769405754698703,-26.27,-5.62,4.55,16.555,48.21,281.21296936572196
Lợi nhuận sau thuế của Cổ đông công ty mẹ,2423532612542.6924,395340764496.96454,1556856874239.0,2185170381600.5,2403519104884.0,2733112858509.5,3077140792284.0,1.562943200730444e+23
Tăng trưởng lợi nhuận sau thuế,6.258974358974361,18.040547721127332,-26.52,-4.945,3.79,16.29,55.15,325.4613620782726
Tổng tài sản,42076102996940.125,10357634322711.172,25958969285317.0,31775373529744.5,44699873386034.0,51426886596947.0,57677080306452.0,1.072805887630045e+26
Tăng trưởng Tổng tài sản,8.858974358974358,7.505508782106154,-9.09,6.4350000000000005,7.78,13.47,25.67,56.3326620782726
Tài sản ngắn hạn,26565478915569.54,7902695398999.224,15029826360314.0,19744181297445.0,24721565376552.0,34409917398029.5,40582371278735.0,6.24525945693635e+25
Tăng trưởng tài sản ngắn hạn,11.17025641025641,11.211846293137661,-12.6,6.035,9.62,18.765,42.42,125.70549730094471
Tài sản dài hạn,15510624081370.59,3147218660832.8823,10284477152156.0,11991746885239.5,16826610965664.0,17593259554520.5,19978308009482.0,9.90498529909472e+24
Tăng trưởng tài sản dài hạn,5.9338461538461535,12.827390844222583,-8.23,-3.77,2.74,12.129999999999999,40.9,164.54195587044535
Nợ ngắn hạn,12190490078216.896,5006167973143.374,5227911279864.0,6900938281256.0,13314973420207.0,16662966079914.0,22021271584074.0,2.506171777532644e+25
Tăng trưởng nợ ngắn hạn,15.775128205128206,20.735312096669507,-18.17,4.235,10.19,23.105,61.55,429.9531677462887
Vay và nợ thuê tài chính ngắn hạn,4620596347770.23,3498411396913.98,108173213914.0,1347599503960.0,4867129839103.0,7555405742601.0,10942647333716.0,1.2238882302057625e+25
Tăng trưởng vay và nợ thuê tài chính ngắn hạn,148.39897435897439,341.5302255083179,-92.08,-2.795,36.26,85.6,1561.64,116642.89493576248
Nợ dài hạn,503059381949.7436,91668865662.73792,337162323893.0,435831014917.5,515094622289.0,556358200052.5,784757986928.0,8.403180931893092e+21
Tăng trưởng Nợ dài hạn,3.938974358974359,28.995784883766145,-51.5,-15.42,-2.7,17.299999999999997,60.39,840.7555410256413
Vốn chủ sở hữu,29382553536773.49,5644994491934.696,19216789663838.0,24390867633855.0,29731255204364.0,34189218579738.0,38337447333457.0,3.186596281397306e+25
Tăng trưởng vốn chủ sở hữu,7.03871794871795,4.811538860679321,-8.46,5.205,7.11,9.695,15.77,23.150906207827262
Vốn góp cổ phần,17404693310512.82,3629158369478.0234,10006413990000.0,14514534290000.0,17416877930000.0,20899554450000.0,20899554450000.0,1.3170790470752386e+25
Tăng trưởng vốn góp cổ phần,20.194444444444446,0.3825951972611793,19.99,19.99,20.0,20.0,20.89,0.14637908496732072
P/E,19.578205128205127,3.17221064525478,14.62,17.34,18.93,21.315,29.18,10.062920377867748
P/B,6.992564102564101,2.092536509080632,4.33,5.175000000000001,6.79,8.55,12.85,4.378709041835357
EV/EBITDA,13.203333333333335,2.970494672018657,8.77,11.185,12.53,15.33,21.35,8.82383859649123
EPS (VNĐ/CP),1416.8592307692309,324.62004882132766,888.41,1131.49,1399.92,1633.61,2022.33,105378.17609676115
Tăng trưởng EPS,-2.235128205128205,14.348008273990482,-26.52,-12.975000000000001,-4.26,7.48,29.29,205.86534143049934
Giá trị sổ sách (VNĐ/CP),15857.307948717946,1387.2365053268572,14044.01,14965.605,15649.2,16383.625,21080.22,1924425.1217114714
Biên lợi nhuận gộp,43.83820512820513,3.3511701583923377,35.67,41.24,43.61,46.805,49.0,11.230341430499324
Biên EBIT,21.83076923076923,3.30073706650291,15.59,18.869999999999997,22.18,24.395,28.96,10.894865182186235
Biên EBITDA,25.059487179487178,3.107615390344338,19.03,22.725,25.16,27.78,31.54,9.657273414304994
Biên lợi nhuận ròng,17.92589743589744,2.9529795104612186,12.4,15.475000000000001,18.21,20.14,24.36,8.72008798920378
ROE LTM,34.791538461538465,6.736960715048987,22.67,28.915,35.46,39.36,47.21,45.38663967611336
ROA LTM,25.048461538461538,6.025607433219597,15.89,19.225,24.97,29.634999999999998,35.2,36.30794493927126
Vòng quay tài sản (vòng),0.33999999999999997,0.051144789311172355,0.26,0.3,0.33,0.385,0.42,0.00261578947368421
Hiệu suất sử dụng tài sản cố định,0.6215384615384615,0.1417659015779268,0.43,0.51,0.56,0.73,0.89,0.020097570850202428
Số ngày thu tiền khách hàng (ngày),115.68435897435896,16.382529332842058,82.24,105.33500000000001,120.6,127.14,144.02,268.38726734143046
Số ngày xử lý hàng tồn kho (ngày),247.8602564102564,26.204236046384352,203.98,231.465,245.58,262.44000000000005,319.29,686.661986774629
Số ngày phải trả nhà cung cấp (ngày),163.64384615384617,34.835532269538014,79.4,147.155,165.2,189.43,230.74,1213.5143085020243
Vòng quay tiền mặt (ngày),199.90076923076927,31.69204087236842,125.49,185.66,204.65,217.82,265.61,1004.3854546558704
