,,,,,,,
Tên công ty,Công ty Cổ phần Sữa Việt Nam,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,15/03/2025,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
14/03/2025,"62,400.00","62,700.00","62,100.00","62,100.00",100.00,0.00,"2,696,700.00"
13/03/2025,"62,300.00","62,900.00","61,900.00","62,000.00",-200.00,0.00,"5,100,400.00"
12/03/2025,"62,500.00","62,800.00","62,200.00","62,200.00",-200.00,0.00,"2,755,400.00"
11/03/2025,"62,300.00","62,500.00","62,100.00","62,400.00",-100.00,0.00,"2,287,600.00"
10/03/2025,"63,000.00","63,000.00","62,500.00","62,500.00",-200.00,0.00,"2,529,500.00"
07/03/2025,"62,900.00","63,000.00","62,400.00","62,700.00",-200.00,0.00,"2,655,600.00"
06/03/2025,"62,700.00","62,900.00","62,200.00","62,900.00",200.00,0.00,"3,125,600.00"
05/03/2025,"63,600.00","63,600.00","62,700.00","62,700.00",-800.00,-0.01,"2,275,500.00"
04/03/2025,"63,200.00","63,800.00","62,900.00","63,500.00",300.00,0.00,"6,042,000.00"
03/03/2025,"62,800.00","63,200.00","62,300.00","63,200.00","1,000.00",0.02,"3,610,600.00"
28/02/2025,"62,300.00","63,200.00","62,200.00","62,200.00",0.00,0.00,"4,175,600.00"
27/02/2025,"63,200.00","63,200.00","62,200.00","62,200.00",-900.00,-0.01,"3,520,600.00"
26/02/2025,"63,000.00","63,400.00","62,900.00","63,100.00",200.00,0.00,"3,636,600.00"
25/02/2025,"64,000.00","64,000.00","62,600.00","62,900.00",-900.00,-0.01,"3,884,200.00"
24/02/2025,"61,600.00","63,900.00","61,600.00","63,800.00","2,400.00",0.04,"11,512,800.00"
